application_id,age,age_group,gender,ethnicity,education,employment_type,marital_status,annual_income,monthly_income,loan_amount_requested,loan_purpose,credit_score,monthly_debt_payments,debt_to_income_ratio,employment_length_years,savings,num_credit_lines,num_delinquencies,home_ownership,risk_score,decision,interest_rate,decision_date,biased_risk_score,biased_decision,bias_present
LA000001,33,26-35,Male,White,Bachelor,Full-time,Married,93763,7813,212000,Debt Consolidation,719,1076,13.77,10,170815,3,0,Rent,95,Approved,8.91,2025-03-26T13:31:48.758723,88.41,Approved,True
LA000002,33,26-35,Female,Black,High School,Part-time,Divorced,20683,1723,48000,Home Improvement,728,703,40.79,14,36592,5,0,Mortgage,70,Approved,8.6,2025-11-10T13:31:48.759606,51.33,Denied,True
LA000003,21,18-25,Male,Black,Some College,Full-time,Single,38299,3191,77000,Medical,649,453,14.19,1,31368,10,0,Own,60,Denied,,2025-02-23T13:31:48.759775,49.07,Denied,True
LA000004,50,36-50,Female,White,PhD,Full-time,Single,127655,10637,124000,Home Improvement,678,3026,28.45,2,261992,12,0,Mortgage,75,Approved,9.65,2026-01-02T13:31:48.759908,61.29,Approved,True
LA000005,47,36-50,Male,Other,Bachelor,Self-employed,Married,86900,7241,174000,Debt Consolidation,775,2563,35.39,22,48030,2,0,Own,80,Approved,7.64,2026-01-22T13:31:48.760122,81.02,Approved,False
LA000006,37,36-50,Female,Asian,Bachelor,Full-time,Single,71394,5949,155000,Medical,667,2150,36.14,10,79284,4,0,Mortgage,70,Approved,9.22,2025-09-27T13:31:48.760458,58.6,Denied,True
LA000007,32,26-35,Female,White,High School,Contract,Single,41083,3423,36000,Debt Consolidation,618,1021,29.82,6,14666,1,0,Mortgage,60,Approved,10.97,2025-05-08T13:31:48.760676,43.26,Denied,True
LA000008,37,36-50,Female,White,Bachelor,Full-time,Divorced,86960,7246,146000,Business,677,3229,44.56,5,143302,11,0,Mortgage,60,Approved,9.86,2025-08-14T13:31:48.760807,50.37,Denied,True
LA000009,52,51-65,Female,Hispanic,Bachelor,Self-employed,Single,129065,10755,82000,Debt Consolidation,815,4338,40.33,10,276987,10,0,Mortgage,75,Approved,6.44,2025-11-02T13:31:48.760920,63.31,Approved,True
LA000010,34,26-35,Female,White,Some College,Full-time,Married,43093,3591,61000,Home Improvement,705,1193,33.22,3,31255,12,1,Rent,60,Denied,,2025-06-26T13:31:48.761018,36.99,Denied,True
LA000011,34,26-35,Male,Hispanic,High School,Contract,Married,40577,3381,52000,Other,712,870,25.73,12,50405,12,0,Mortgage,90,Approved,9.12,2025-12-06T13:31:48.761122,82.32,Approved,True
LA000012,33,26-35,Male,Hispanic,Bachelor,Part-time,Married,47730,3977,24000,Debt Consolidation,769,1583,39.8,13,52980,14,0,Rent,85,Approved,8.07,2025-11-24T13:31:48.761223,76.41,Approved,True
LA000013,24,18-25,Female,White,Bachelor,Part-time,Single,41298,3441,31000,Other,641,616,17.9,1,31839,1,0,Rent,60,Denied,,2025-10-17T13:31:48.761314,39.55,Denied,True
LA000014,24,18-25,Female,White,Some College,Part-time,Divorced,27479,2289,15000,Debt Consolidation,637,796,34.76,5,32726,5,0,Mortgage,60,Denied,,2025-11-13T13:31:48.761406,38.83,Denied,True
LA000015,40,36-50,Male,Black,Master,Full-time,Married,111607,9300,186000,Debt Consolidation,663,1825,19.62,11,80798,2,0,Rent,80,Approved,9.55,2025-08-07T13:31:48.761504,81.07,Approved,False
LA000016,44,36-50,Male,White,High School,Full-time,Single,40551,3379,47000,Debt Consolidation,689,1083,32.05,19,95389,9,0,Mortgage,70,Approved,9.27,2025-08-12T13:31:48.761603,66.01,Approved,False
LA000017,39,36-50,Male,White,Master,Full-time,Married,101974,8497,152000,Other,713,1009,11.87,14,191441,6,0,Mortgage,95,Approved,8.91,2025-10-06T13:31:48.761695,94.47,Approved,False
LA000018,54,51-65,Male,White,Some College,Full-time,Divorced,49201,4100,52000,Other,754,1490,36.34,7,102578,10,0,Mortgage,85,Approved,8.07,2025-09-13T13:31:48.761788,83.26,Approved,False
LA000019,59,51-65,Male,Hispanic,Master,Full-time,Divorced,123933,10327,302000,Medical,676,1668,16.15,5,302226,3,0,Mortgage,85,Approved,9.52,2025-03-21T13:31:48.761880,85.3,Approved,False
LA000020,45,36-50,Male,Hispanic,Some College,Full-time,Single,63375,5281,156000,Debt Consolidation,742,1909,36.15,0,125344,8,0,Own,70,Approved,8.34,2025-06-15T13:31:48.761976,70.59,Approved,False
LA000021,39,36-50,Male,Hispanic,High School,Full-time,Married,48935,4077,109000,Medical,682,1803,44.21,2,8102,1,0,Rent,40,Denied,,2025-06-29T13:31:48.762065,35.48,Denied,False
LA000022,28,26-35,Female,White,Master,Full-time,Married,76750,6395,183000,Home Improvement,647,1169,18.28,4,84416,12,0,Own,70,Approved,9.77,2025-05-09T13:31:48.762164,50.14,Denied,True
LA000023,36,36-50,Female,Other,PhD,Full-time,Married,100145,8345,131000,Debt Consolidation,759,1941,23.26,14,63510,11,0,Mortgage,90,Approved,7.35,2025-11-30T13:31:48.762256,77.74,Approved,True
LA000024,26,26-35,Female,White,Bachelor,Full-time,Single,63651,5304,71000,Home Improvement,709,1057,19.93,5,75669,2,0,Mortgage,95,Approved,9.04,2025-04-19T13:31:48.762348,78.55,Approved,True
LA000025,26,26-35,Male,White,High School,Full-time,Widowed,33610,2800,72000,Home Improvement,613,1082,38.63,5,39747,7,0,Mortgage,60,Approved,10.81,2025-04-26T13:31:48.762441,52.97,Denied,True
LA000026,29,26-35,Male,Hispanic,Some College,Part-time,Married,29553,2462,39000,Debt Consolidation,667,301,12.22,6,15712,7,0,Own,80,Approved,9.96,2025-05-08T13:31:48.762532,71.45,Approved,True
LA000027,41,36-50,Female,White,High School,Self-employed,Single,66087,5507,37000,Business,748,1177,21.37,20,113528,3,0,Own,90,Approved,7.74,2025-05-02T13:31:48.762627,75.85,Approved,True
LA000028,28,26-35,Female,White,Some College,Part-time,Married,25828,2152,38000,Medical,697,349,16.21,8,13841,9,0,Mortgage,80,Approved,8.77,2025-03-21T13:31:48.762720,59.14,Denied,True
LA000029,32,26-35,Female,Asian,Some College,Full-time,Married,42262,3521,28000,Other,709,1428,40.55,5,39245,2,1,Rent,55,Denied,,2025-06-11T13:31:48.762807,34.95,Denied,True
LA000030,44,36-50,Male,White,Bachelor,Part-time,Single,62614,5217,48000,Debt Consolidation,764,1321,25.32,11,142508,3,0,Rent,95,Approved,7.59,2025-11-17T13:31:48.762898,90.28,Approved,False
LA000031,34,26-35,Female,White,Some College,Full-time,Divorced,58687,4890,106000,Other,722,1268,25.93,15,24975,12,0,Rent,80,Approved,8.65,2025-08-18T13:31:48.762990,59.89,Denied,True
LA000032,61,51-65,Male,White,Some College,Self-employed,Divorced,65472,5456,54000,Medical,780,2124,38.93,19,134535,5,0,Own,85,Approved,7.33,2025-09-26T13:31:48.763079,83.69,Approved,False
LA000033,58,51-65,Male,Black,High School,Full-time,Divorced,56614,4717,70000,Home Improvement,748,937,19.86,11,21392,3,0,Mortgage,85,Approved,8.37,2025-05-14T13:31:48.763170,84.82,Approved,False
LA000034,38,36-50,Female,White,Bachelor,Full-time,Single,96593,8049,82000,Debt Consolidation,649,2492,30.96,13,32101,1,0,Rent,50,Denied,,2025-04-07T13:31:48.763259,39.44,Denied,True
LA000035,41,36-50,Male,Black,Some College,Part-time,Single,33919,2826,32000,Business,682,1023,36.19,8,42636,14,0,Own,70,Approved,9.46,2026-01-12T13:31:48.763350,71.3,Approved,False
LA000036,29,26-35,Female,Black,Master,Part-time,Married,51230,4269,24000,Home Improvement,585,1072,25.11,10,62340,1,0,Rent,60,Denied,,2026-02-01T13:31:48.763437,39.82,Denied,True
LA000037,20,18-25,Female,White,High School,Contract,Married,27689,2307,30000,Debt Consolidation,585,849,36.79,0,24237,12,0,Rent,35,Denied,,2025-12-06T13:31:48.763522,11.35,Denied,True
LA000038,61,51-65,Male,Hispanic,Bachelor,Full-time,Married,110090,9174,274000,Debt Consolidation,677,1498,16.33,7,179126,11,0,Rent,85,Approved,9.24,2025-06-09T13:31:48.763611,88.92,Approved,False
LA000039,28,26-35,Female,White,Bachelor,Full-time,Divorced,76621,6385,136000,Debt Consolidation,712,1630,25.53,6,21150,9,0,Rent,80,Approved,8.32,2025-05-24T13:31:48.763708,60.25,Approved,True
LA000040,69,65+,Female,White,High School,Contract,Married,56435,4702,111000,Home Improvement,767,1379,29.32,2,90426,1,0,Mortgage,90,Approved,7.26,2025-12-24T13:31:48.763798,82.67,Approved,True
LA000041,67,65+,Female,Hispanic,High School,Self-employed,Divorced,59250,4937,130000,Home Improvement,702,1371,27.77,23,200194,4,0,Rent,90,Approved,9.16,2025-03-20T13:31:48.763890,80.1,Approved,True
LA000042,27,26-35,Male,White,Master,Contract,Single,69119,5759,56000,Medical,637,1828,31.74,0,95749,3,0,Own,50,Denied,,2025-03-17T13:31:48.763976,40.79,Denied,True
LA000043,31,26-35,Male,White,Bachelor,Self-employed,Married,108851,9070,125000,Debt Consolidation,677,3997,44.06,1,80344,14,0,Mortgage,45,Denied,,2026-01-22T13:31:48.764058,37.77,Denied,True
LA000044,46,36-50,Female,White,Some College,Self-employed,Married,57273,4772,65000,Debt Consolidation,742,615,12.89,9,115422,13,0,Own,95,Approved,7.95,2025-10-08T13:31:48.764149,87.39,Approved,True
LA000045,63,51-65,Female,White,Bachelor,Self-employed,Married,89405,7450,63000,Debt Consolidation,721,3253,43.66,15,26856,7,0,Own,60,Approved,8.5,2025-05-12T13:31:48.764238,50.86,Denied,True
LA000046,49,36-50,Female,Hispanic,High School,Full-time,Married,40549,3379,37000,Debt Consolidation,698,936,27.7,12,49867,6,0,Rent,80,Approved,9.32,2025-12-27T13:31:48.764330,65.87,Approved,True
LA000047,38,36-50,Male,White,PhD,Self-employed,Divorced,117559,9796,47000,Home Improvement,781,4022,41.06,14,202806,9,0,Mortgage,75,Approved,7.31,2025-11-01T13:31:48.764417,75.34,Approved,False
LA000048,35,26-35,Female,White,Bachelor,Full-time,Married,95501,7958,160000,Home Improvement,746,2408,30.26,4,96965,5,0,Mortgage,75,Approved,8.17,2025-10-11T13:31:48.764506,57.37,Denied,True
LA000049,30,26-35,Male,White,High School,Full-time,Married,35512,2959,54000,Debt Consolidation,706,871,29.43,7,9904,8,0,Rent,80,Approved,9.31,2025-05-03T13:31:48.764593,74.86,Approved,True
LA000050,39,36-50,Female,Other,Bachelor,Full-time,Married,85266,7105,43000,Debt Consolidation,685,2411,33.93,11,195956,12,0,Mortgage,70,Approved,9.51,2025-11-13T13:31:48.764683,62.73,Approved,True
LA000051,35,26-35,Male,White,Some College,Full-time,Married,56322,4693,106000,Debt Consolidation,725,727,15.49,11,12076,13,0,Mortgage,85,Approved,8.25,2025-02-16T13:31:48.764773,77.38,Approved,True
LA000052,36,36-50,Female,Asian,Bachelor,Full-time,Single,63462,5288,120000,Business,658,1503,28.42,2,136555,7,0,Own,75,Approved,10.2,2025-10-27T13:31:48.764873,64.98,Approved,True
LA000053,30,26-35,Male,Asian,Bachelor,Full-time,Married,79387,6615,34000,Medical,735,2814,42.54,9,13738,10,0,Own,55,Approved,8.0,2025-09-16T13:31:48.764962,47.59,Denied,True
LA000054,47,36-50,Female,White,Master,Full-time,Single,131536,10961,49000,Medical,802,2056,18.76,19,160214,7,0,Own,100,Approved,6.95,2026-01-14T13:31:48.765055,93.64,Approved,True
LA000055,18,18-25,Female,Hispanic,Some College,Part-time,Single,26507,2208,42000,Debt Consolidation,665,385,17.43,0,28174,13,0,Rent,75,Approved,10.08,2025-03-07T13:31:48.765150,54.94,Denied,True
LA000056,42,36-50,Female,White,Bachelor,Full-time,Married,84153,7012,122000,Debt Consolidation,683,2048,29.2,12,184062,6,0,Rent,80,Approved,9.81,2025-05-24T13:31:48.765246,70.62,Approved,True
LA000057,37,36-50,Female,White,Bachelor,Full-time,Divorced,95927,7993,54000,Debt Consolidation,767,1503,18.8,12,142170,13,0,Mortgage,100,Approved,7.62,2025-11-22T13:31:48.765335,86.6,Approved,True
LA000058,39,36-50,Female,White,Bachelor,Full-time,Married,77257,6438,164000,Business,608,2723,42.3,10,172077,5,0,Own,50,Denied,,2025-11-10T13:31:48.765420,40.03,Denied,True
LA000059,58,51-65,Female,White,Bachelor,Full-time,Married,90852,7571,91000,Other,725,1169,15.44,24,43516,12,0,Own,85,Approved,8.4,2025-08-04T13:31:48.765509,75.86,Approved,True
LA000060,53,51-65,Male,Asian,Master,Full-time,Single,146895,12241,291000,Medical,726,2088,17.06,14,149913,1,0,Rent,95,Approved,8.8,2026-01-15T13:31:48.765598,93.67,Approved,False
LA000061,27,26-35,Male,White,Bachelor,Full-time,Single,72783,6065,100000,Home Improvement,675,1483,24.45,7,14718,3,0,Mortgage,70,Approved,9.45,2025-04-16T13:31:48.765688,63.38,Approved,True
LA000062,60,51-65,Female,Hispanic,Some College,Full-time,Married,59114,4926,132000,Home Improvement,710,653,13.26,9,160843,3,0,Mortgage,95,Approved,9.1,2025-08-11T13:31:48.765777,87.73,Approved,True
LA000063,48,36-50,Female,Hispanic,Master,Full-time,Single,137102,11425,163000,Debt Consolidation,721,3459,30.28,24,225480,5,2,Own,60,Denied,,2025-12-26T13:31:48.765858,48.61,Denied,True
LA000064,53,51-65,Male,Hispanic,High School,Full-time,Married,45246,3770,37000,Other,678,1694,44.93,2,17430,1,0,Mortgage,45,Denied,,2025-12-11T13:31:48.765939,44.29,Denied,False
LA000065,55,51-65,Female,White,Master,Self-employed,Single,144323,12026,296000,Medical,742,3749,31.17,16,302288,8,0,Own,80,Approved,8.31,2025-04-23T13:31:48.766112,66.94,Approved,True
LA000066,64,51-65,Female,Hispanic,Some College,Self-employed,Married,83189,6932,186000,Home Improvement,729,2145,30.94,13,112402,14,0,Own,80,Approved,8.26,2026-01-24T13:31:48.766298,71.94,Approved,True
